Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
MEX_top_down_revolution;Mexican Golden Circle;;;;;;;;;;;;;
CRB;Caribbean Federation;;;;;;;;;;;;;
CRB_ADJ;Caribbean;;;;;;;;;;;;;
CRB_absolute_monarchy;Caribbean Federation;;;;;;;;;;;;;
CRB_prussian_constitutionalism;Caribbean Federation;;;;;;;;;;;;;
CRB_hms_government;Caribbean Federation;;;;;;;;;;;;;
CRB_democracy;Caribbean Federation;;;;;;;;;;;;;
CRB_proletarian_dictatorship;Caribbean People's Republic;;;;;;;;;;;;;
CRB_fascist_dictatorship;Caribbean Empire;;;;;;;;;;;;;
CRB_conservative;Conservative Party;Conservative Party;Conservative Party;;;;;;;;;;;
CRB_liberal;Citizens' Alliance;Citizens' Alliance;Citizens' Alliance;;;;;;;;;;;
CRB_reactionary;National Party;National Party;National Party;;;;;;;;;;;
CRB_socialist;People's Partnership;People's Partnership;People's Partnership;;;;;;;;;;;
CRB_communist;Worker's Party;Worker's Party;Worker's Party;;;;;;;;;;;
CRB_anarcho_liberal;Butler Party;Butler Party;Butler Party;;;;;;;;;;;
CRB_fascist;Fascist Party;Fascist Party;Fascist Party;;;;;;;;;;;
TUR_democracy;Ottoman Republic;;;;;;;;;;;
TKY_democracy;Turkey;;;;;;;;;;;
TKY_hms_government;Turkey;;;;;;;;;;;
TKY_absolute_monarchy;Turkic Sultanate;;;;;;;;;;;
TKY_prussian_constitutionalism;Turkic Sultanate;;;;;;;;;;;
TKY_fascist_dictatorship;Neo-OttoTurkic State;;;;;;;;;;;
TKY_bourgeois_dictatorship;People's Republic of Turkey;;;;;;;;;;;
TKY_presidential_dictatorship;Turkic Diktat;;;;;;;;;;;
TKY_proletarian_dictatorship;Turkic Socialist State;;;;;;;;;;;
TKY_fascist;NeoOttomans;;;;;;;;;;;
TKY_anarcho_liberal;Anarcho Turks;;;;;;;;;;;
TKY_liberal_2;Minimalist Party;;;;;;;;;;;
TKY_communist;Turkic Comrade Party;;;;;;;;;;;
TKY_socialist;The People's Party;;;;;;;;;;;
TKY_liberal;Revaunchist Liberals;;;;;;;;;;;
TKY_conservative;Traditionalists;;;;;;;;;;;
TKY_reactionary;Sunni Radicals;;;;;;;;;;;
TKY_ADJ;Turkish;;;;;;;;;;;
USS_top_down_revolution;The United States of South America;;;;;;;;;;;;;
top_down_revolution_ruler;President;;;;;;;;;;;
VNS_colonial_company;Virreynato de Nueva Espana;;;;;;;;;;;;;;;;;;;;;;
VNS;Nueva Espana;;;;;;;;;;;;;;;;;;;;;;
VNS_ADJ;Spanish;;;;;;;;;;;;;;;;;;;;;;
CGC_colonial_company;Capitania General de Chile;;;;;;;;;;;;;
CGC;Chile;;;;;;;;;;;;;
CGC_ADJ;Spanish;;;;;;;;;;;;;;;;;;;;;;
VNG_colonial_company;Virreinato de la Nueva Granada;;;;;;;;;;;;;
VNG;Nueva Granada;;;;;;;;;;;;;
VNG_ADJ;Spanish;;;;;;;;;;;;;;;;;;;;;;
VLP_colonial_company;Virreinato del Río de la Plata;;;;;;;;;;;;;
VLP;Río de la Plata;;;;;;;;;;;;;
VLP_ADJ;Spanish;;;;;;;;;;;;;;;;;;;;;;
VOP_colonial_company;Virreinato del Peru;;;;;;;;;;;;;
VOP;Peru;;;;;;;;;;;;;
VOP_ADJ;Spanish;;;;;;;;;;;;;;;;;;;;;;
IBR_top_down_revolution;Iberian Imperial Federation;;;;;;;;;;;;;
SPA_top_down_revolution;Spanish Imperial Federation;;;;;;;;;;;;;
SPC_top_down_revolution;Spanish Imperial Federation;;;;;;;;;;;;;
MCD_top_down_revolution;The Great Macedon Empire;;;;;;;;;;;;;
BTC_democracy;Baltic Republic;;;;;;;;;;;;;
BTC_hms_government;Baltic Union;;;;;;;;;;;;;
BTC_absolute_monarchy;Baltic Empire;;;;;;;;;;;;;
BTC_prussian_constitutionalism;Baltic Union;;;;;;;;;;;;;
BTC_fascist;Baltic Empire;;;;;;;;;;;;;
BTC_fascist_dictatorship;Baltic Empire;;;;;;;;;;;;;
BTC_bourgeois_dictatorship;The People's Hansa;;;;;;;;;;;;;
BTC_presidential_dictatorship;Baltic State;;;;;;;;;;;;;
BTC_communist;Baltic Social Bloc;;;;;;;;;;;;;
BTC_ADJ;Baltic;;;;;;;;;;;;;
