Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
annex_switzerland_title;Occupy Switzerland;;;;;;;;;;;;;
annex_switzerland_desc;Using the French-Swiss living in Geneva we can use this as an excuse to occupy Switzerland.;;;;;;;;;;;;;
free_the_basque_title;Free the Basque;;;;;;;;;;;;;
free_the_basque_desc;The Basque peoples are rightfully French and must be brought into the fold.;;;;;;;;;;;;;
jules_ferry_laws_title;The Jules Ferry Laws;;;;;;;;;;;;;
jules_ferry_laws_desc;French education during the 19th century was marked by two distinct and segregated systems, the first being a secondary school system and the second a primary school system. However, in each of these systems, the Catholic Church provided an alternative to secular schooling that was often the only option for families in economically depressed regions of France. \n\nThe Jules Ferry Laws were a set of French Laws which established free education, then mandatory and laic (secular) education. Jules Ferry, a lawyer holding the office of Minister of Public Instruction in the 1880s, was widely credited for creating the modern Republican school (l'école républicaine). The dual system of state and church schools that were largely staffed by religious officials was replaced by state schools and lay school teachers. The educational reforms enacted by Jules Ferry are often attributed to a broader anti-clerical campaign in France.;;;;;;;;;;;;;
establish_panfrenchism_title;Encourage French Pan-Nationalism;;;;;;;;;;;;;
establish_panfrenchism_desc;While France is certainly more united compared to it's German or Italian neighbors, the fact remains that large amounts of French-cultured people reside outside of France's borders. The Swiss people in Romandie, The Walloons in the low countries, and even the French-Canadians in Quebec, are all French at heart. If we were to encourage French pan-nationalism, both here and abroad, we may be able to one day re-unite the French peoples of the world under a single French flag.;;;;;;;;;;;;;
haitian_integration_title;Integrate Haiti;;;;;;;;;;;;;
haitian_integration_desc; While France has restored order to the rebelliuos colony of Haiti, resistance and tension has persisted in the colony. If we were inbest heavily in Haiti, as well as extend equal rights to the Haitians and make Haiti a part of Metropolitan France, we may finally be able to calm the island's citizenry down and regain the loyalty of the haitians.;;;;;;;;;;;;;
claim_catalonia_title;Claim Catalonia;;;;;;;;;;;;;
claim_catalonia_desc;Originally annexed from Napoleonic Spain by France in 1812, It would be easy to take advantage of Spain's weakened state. While the other Greater Powers will protest, Annexing Catalonia will put us one step closer to restoring the territory of the 1st French Empire.;;;;;;;;;;;;;
claim_luxembourg_title;Claim Luxembourg;;;;;;;;;;;;;
claim_luxembourg_desc;During the Austro-Prussian War, Napoleon III promised the Prussian Prime Minister, Otto von Bismarck, of France's neutrality, hoping that such an open statement of intent would strengthen France's negotiating position regarding the western bank of the Rhine. Bismarck refused to offer any land from the Rhineland, which was Napoleon's preferred region. However, he did make suggestions of French hegemony in Belgium and Luxembourg, although not committing anything to writing. \n\nNow that the war is over, it is time to assert our influence in Luxembourg.;;;;;;;;;;;;;
claim_wallonia_title;Claim Wallonia;;;;;;;;;;;;;
