Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTOPTA90910;Keep our non integrated lands as colonies.;;;;;;;;;;;;;
EVTOPTB90910;Forcefully integrate our new subjects into our new administration.;;;;;;;;;;;;;
EVTNAME99994;The Treaty of Berlin ($YEAR$);;;;;;;;;;;;
EVTDESC99994;The Left Bank of the Rhine is now firmly under French control, our natural border to the west is secured.;;;;;;;;;;;;
EVT99994OPTA;A Glorious Day;;;;;;;;;;;;
EVTNAME99995;The Treaty of Berlin ($YEAR$);;;;;;;;;;;;
EVTDESC99995;Under the terms of the Treaty of Berlin, we have been forced to secede territories on the left bank on the Rhein to the new French puppet state.;;;;;;;;;;;;
EVT99995OPTA;A Dark Day...;;;;;;;;;;;;
EVTNAME99993;The Treaty of Paris ($YEAR$);;;;;;;;;;;;
EVTDESC99993;Our efforts in claiming the rhine as our natural border have failed, and we have been forced to renounce any claims on the region.;;;;;;;;;;;;
EVT99993OPTA;What a blunder...;;;;;;;;;;;;
EVT441294OPTA;To War!;;;;;;;;;;;;;
EVTNAME441294;Whitehorse and Down;;;;;;;;;;;;;
EVTDESC441294;The UK has refused our demands. There is but one option left.;;;;;;;;;;;;;
EVTDESC7790003;Now that we have restored French control over Canada, we must decide on what to do with the English Settlers. Few wish to accept out rule, any some have even begun to leave Canada to resettle elsewhere. We could mandate an expulsion program to evict the settlers, however it will be costly and will earn us the ire of the United Kingdom. ;;;;;;;;;;;;;
EVTDESC7790004;The United Kingdom has denied our geneorus offer, making the peaceful aquistion of French Canada all but impossible, we could declare war on the British right now, or we could abandon the dream of reuniting the French Canadiens and avoid a costly war.;;;;;;;;;;;;;
EVTDESC7790005;The United Kingdom has agreed to our demands, and they have offered to handover the French-speaking parts of Canada in return for a hefty sum of money. While perhaps more than what French Canada is worth, It is far lower than the cost of a drawn out war with the UK.;;;;;;;;;;;;;
EVTNAME7790004;$FROMCOUNTRY$ has ignored our demands!;;;;;;;;;;;;;
EVT7790004OPTA;War is our only option for reclaiming New France!;;;;;;;;;;;;;
EVT7790004OPTB;Reuniting the French Canadians was a noble dream, but it isn't worth it.;;;;;;;;;;;;;
EVTNAME7790005;$FROMCOUNTRY$ has agreed!;;;;;;;;;;;;;
EVT7790005OPTA;We are united once more.;;;;;;;;;;;;;
EVTNAME7790003;$FROMCOUNTRY$ Demands Quebec;;;;;;;;;;;;;
EVT7790001OPTA;We will not bow to French Demands!;;;;;;;;;;;;;
EVT7790001OPTB;The French Canadians are more trouble than they're worth;;;;;;;;;;;;;
EVTDESC7597306;The foreign imperialists are gone, but what about the empires that remain? Are they saboteurs disguised as heads of states? Can democracy ever truly be guaranteed if a unelected man holds the highest office? Questions like these are abound in Washington as the issue what should be done about the Mexican Empire. Can a royal family exist in this New World of liberty the United States is attempting to build?;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC1726880;Recently our neighbors to the north have been on crusade against Imperialism, but now that all existential threats have been vanquished, the mad revolutionaries have been scouring the continent for problems. While the United States seems to have no issues with our monarchy, they have demanded that we institute some reforms which they believe will serve as safe guards for democracy. Needless to say, this is a huge infringement on Mexican sovereignty and to abide by these demands will ruffle the feathers of the traditionalist. However, to refuse will not only anger the liberals, but might even spur the Americans to invade.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC2786154;Recently our neighbors to the north have been on crusade against Imperialism, but now that all existential threats have been vanquished, the mad revolutionaries have been scouring the continent for problems. While the United States seems to have no issues with our monarchy, they have demanded that our Emperor abdicate in favor of a more Republican model. Needless to say, this is a huge infringement on Mexican sovereignty and to abide by these demands will ruffle the feathers of the traditionalist. However, to refuse will not only anger the liberals, but might even spur the Americans to invade.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC8981518;Our demands to the Mexican Empire have been met with a harsh rebuttal. US-Mexican relations are at a low, and the more aggressive Congressmen have been calling for war. Should we respect Mexican sovereignty or guarantee democracy?;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC5578766;We have received reports that American troops have been arming the Mayan population in the Yucatan and now the entire peninsula is in a full blown rebellion.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC8016634;The Caribbean is a diverse cluster of islands colonized by a wide array of nations and people, some who arrived more willing than others. Never the less, the United States is gifting upon those many islands an opportunity to be something greater. Although now that all the Antilles are under one flag, the question remains where shall the capital be. Should it be in the oldest city in the Caribbean, Havana, or a more central location like Jamaica. The Haitians share our revolutionary spirit, although perhaps to an extreme that not everyone is comfortable with.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC5853546;When American ships sailed into various ports in Alaska to announce to the local population their liberation into American hands, most were either unware there was a war or apathetic towards the regime change. Although the most logical action would be to incorporate Alaska as a territory of the United States, some argue this would be imperialistic in nature and infringe upon the rights of population in Alaska. The majority Inuit population shows no interest in state building, and the small European Alaskan population is so small that it would not take long for American settlers to outnumber them. Although as barren as the land is, it would be a harmless yet prestigious display of good will to give it independence, under tight American supervision of course.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC7391609;The recent invasion of the Mexican Empire by the United States has alarmed many here in Brazil. There are rumors in the royal court that it will be only a matter of time before the United States strikes south and attempts to oust Brazilian monarchy. None this is helped by the fact that liberals and other pro-republic factions have been inspired by the United States recent revolutionary fervor. It might be for the best if the Brazilian royal family were to slip away to safety in Europe.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC9452276;The monarchy of Brazil has fled Rio, allowing pro-democracy forces to seize the capital and transform the country into a republic. It would seem are ideals of liberty our spreading throughout the New World.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC3886062;Brazil’s transition into a republic has not been as stable as some have hoped. There are frequent clashes in the streets between conservatives and liberals which end in large amount of bloodshed by both sides. Something must be done, and those on the right are demanding the military step in to secure order and centralize the state. This might grant some stability, but it would be a betrayal to the ideas of democracy.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC2791898;In attempt to ensure stability, a military strongman in Brazil has taken emergency measures and in doing so severely restricted the democratic rights guaranteed by the previous government. Many in the United States view this recent regime change as something just as tyrannical if not more so than the monarchy that preceded the revolution. There are some the United States that are tired of frequently interfering in the affairs of other American countries. It might be for the best to simply recognize the new government.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC1595471;When the United States caught wind of the military seizing power, they almost immediately pressured the new government to step down and allow for elections. Although the United States is supposed to protect the New World not invade it, Brazil must be cautious in how it reacts to our Anglo neighbors to the north. It would be foolish to go head to head with the United States, but cowardly to simply bend to their wishes.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC2931608;The military government has refused to allow for free and open elections. If we want democracy to prevail in Brazil, we may have to invade. An unpopular idea, but a necessity.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4949670;The Brazilian government has agreed to reforms and elections are on course to take place. Another victory for American diplomacy.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC1225875;The United States has demanded that we join the newly formed Andes Republic. The obvious choice is to refuse as Chile is a sovereign state. But then again, we might not want to anger the American eagle.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC7859305;Chile has refused to join the Andes Republic on the principle of sovereignty and what not. For the good of the New World and for the stability of South America, the obvious choice is to send a democratic expedition to Chile. Although there are many who would see this as gross violation of Chilean rights, everything the United States does is for the greater good.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC3552310;Although Panama is technically under the jurisdiction of the Colombians, there are many on the isthmus who would rather join the Federal Republic in Central America. The United States is in a position to peacefully resolve the issue to prevent conflict from erupting and settle for good who rules Panama. Panama can either join the FRCA, stay under the control of Gran Colombia, or perhaps dividing the isthmus between the two is a suitable compromise.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC8133696;The foreign imperialists are gone, but what about the empires that remain? Are they saboteurs disguised as heads of states? Can democracy ever truly be guaranteed if an unelected man holds the highest office? Questions like these are abound in Washington as the issue what should be done about the Brazilian Empire. Can a royal family exist in this New World of liberty the United States is attempting to build?;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC5984582;Recently our neighbors to the north have been on crusade against Imperialism, but now that all existential threats have been vanquished, the mad revolutionaries have been scouring the continent for problems. While the United States seems to have no issues with our monarchy, they have demanded that we institute some reforms which they believe will serve as safe guards for democracy. Needless to say, this is a huge infringement on Brazilian sovereignty and to abide by these demands will ruffle the feathers of the traditionalist. However, to refuse will not only anger the liberals, but might even spur the Americans to invade.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4640050;Recently our neighbors to the north have been on crusade against Imperialism, but now that all existential threats have been vanquished, the mad revolutionaries have been scouring the continent for problems. While the United States seems to have no issues with our monarchy, they have demanded that our Emperor abdicate in favor of a more Republican model. Needless to say, this is a huge infringement on Brazilian sovereignty and to abide by these demands will ruffle the feathers of the traditionalist. However, to refuse will not only anger the liberals, but might even spur the Americans to invade.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC7078003;Our demands to the Brazilian Empire have been met with a harsh rebuttal. US-Brazilian relations are at a low, and the more aggressive Congressmen have been calling for war. Should we respect Brazilian sovereignty or guarantee democracy? ;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC7680756;Due to war, civil unrest, and the overall lost of democratic morals and republican values, the United States of America is no longer the shining light of liberty that it once was. The collapse of American institutions and decline of American power means the United States is no longer able to manage its hegemonic grip over the New World. Uncertainty strikes the Americas and the future of the democratic states we have created remains unstable without American backing. Once again, the New World will be open to exploitation by foreign tyrants. Perhaps one day the United States will be able to recover its dignity, but that day is a long way off.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC2667604;Due to a wide array of factors, both external and internal, the United States is no longer the hegemony it once claimed to be. The New World is now in disarray as American support to North and South American states is being cut and relations severed.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC5220256;Due to the collapse of American hegemony, $COUNTRY$ is at a cross roads. Should we end the union created under American supervision, or enact emergency measures to ensure the future of $COUNTRY$. Choosing the latter will lead to an era of civil unrest as we struggle to establish our legitimacy without the backing of our American overlords.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4408766;Due to the collapse of American hegemony, $COUNTRY$ is at a cross roads. Should we end the union created under American supervision, or enact emergency measures to ensure the future of $COUNTRY$. Choosing the latter will lead to an era of civil unrest as we struggle to establish our legitimacy without the backing of our American overlords.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4634701;Due to the collapse of American hegemony, $COUNTRY$ is at a cross roads. Should we end the union created under American supervision, or enact emergency measures to ensure the future of $COUNTRY$. Choosing the latter will lead to an era of civil unrest as we struggle to establish our legitimacy without the backing of our American overlords.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC7281959;Due to the collapse of American hegemony, $COUNTRY$ is at a cross roads. Should we end the union created under American supervision, or enact emergency measures to ensure the future of $COUNTRY$. Choosing the latter will lead to an era of civil unrest as we struggle to establish our legitimacy without the backing of our American overlords.;;;;;;;;;;;;;;;;;;;;;;;
