Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
top_down_revolution;Oligarchic Republic;;;;;;;;;;;;;
colonial_company;Colonial Company;;;;;;;;;;;;;
forcefully_westernised;Forcefully Westernised;;;;;;;;;;;;;
our_lead;Dutch Rapid Development Program;;;;;;;;;;;;;
our_lead_2;Dutch Rapid Development Program;;;;;;;;;;;;;
our_lead_3;Dutch Rapid Development Program;;;;;;;;;;;;;
A_rude_awakening;German Vitalisation Campaign;;;;;;;;;;;;;
mexican_circle;Mexican Golden Circle;;;;;;;;;;;;;
mexican_circle_desc;We have liberated the slave states of the carribian and now stand as a beacon of peace & liberty to the world;;;;;;;;;;;;;
oligarcic_donations;Oligacic Donations;;;;;;;;;;;;;
oligarcic_donations_desc;We have accepted bribes from private parties and in return they now hold a larger sawy over our republic;;;;;;;;;;;;;
female_education;Female Education;;;;;;;;;;;;;
female_education_desc;Females have the same rights to education as men;;;;;;;;;;;;;
Argentine_boom;Argentine Export Boom;;;;;;;;;;;;;
Argentine_boom_desc;Leveraging our great pastures and foreign investment we've been able to push our economic growth at such a rate it surely will never be matched;;;;;;;;;;;;;
unkown_soldier;War Memorial;;;;;;;;;;;;;
unkown_soldier_desc;After our losses in the Great war we have established the Tomb of the Unknown soldier in memoriam;;;;;;;;;;;;;
diplo_psycho_1;Diplomatic Tools;;;;;;;;;;;;;
diplo_psycho_1_desc;Due to our advences in diplomatic tools we now able to perform more diplomatic actions;;;;;;;;;;;;;
diplo_psycho_2;Diplomatic Tools;;;;;;;;;;;;;
diplo_psycho_2_desc;Due to our advences in diplomatic tools we now able to perform more diplomatic actions;;;;;;;;;;;;;
diplo_psycho_3;Diplomatic Tools;;;;;;;;;;;;;
diplo_psycho_3_desc;Due to our advences in diplomatic tools we now able to perform more diplomatic actions;;;;;;;;;;;;;
diplo_psycho_4;Diplomatic Tools;;;;;;;;;;;;;
diplo_psycho_4_desc;Due to our advences in diplomatic tools we now able to perform more diplomatic actions;;;;;;;;;;;;;
diplo_psycho_5;Diplomatic Tools;;;;;;;;;;;;;
diplo_psycho_5_desc;Due to our advences in diplomatic tools we now able to perform more diplomatic actions;;;;;;;;;;;;;
diplo_psycho_6;Diplomatic Tools;;;;;;;;;;;;;
diplo_psycho_6_desc;Due to our advences in diplomatic tools we now able to perform more diplomatic actions;;;;;;;;;;;;;
league_of_nations;League of Nations;;;;;;;;;;;;;
league_of_nations_desc;A body of powerful nations keeping a watchful eye over the activities of the world;;;;;;;;;;;;;
rules_changed;Changed International Code;;;;;;;;;;;;;
rules_changed_desc;The global international code has been changed to one much more accepting of foreign conquest and survival of the fittest;;;;;;;;;;;;;
master_of_diplomacy;Master of Diplomacy;;;;;;;;;;;;;
master_of_diplomacy_desc;Our advances in the ways of diplomacy and culture help allow us to bend foreign powers to our whim;;;;;;;;;;;;;
league_war_peace;Leage of Nations;;;;;;;;;;;;;
league_war_war;New World Order;;;;;;;;;;;;;
NORMAL_WAR_LEAGUE_NAME;League War;;;;;;;;;;;;;
LEAGUE_WAR_PEACE_SHORT;Form League;;;;;;;;;;;;;
LEAGUE_WAR_WAR_SHORT;Form New Order;;;;;;;;;;;;;
Propse_league_of_nations_title;League of Nations;;;;;;;;;;;;;
Propse_league_of_nations_desc;The great war has taken a toll on the world, to prevent such a thing from happening again we could propose a league of nations for the betterment of mankind;;;;;;;;;;;;;
mining_boom;Mining Boom;;;;;;;;;;;;;
AGRESSION_WAR_LEAGUE_NAME;New World Order;;;;;;;;;;;;;
league_war_war_desc;For a new world order;;;;;;;;;;;;;
league_war_peace_desc;For a peaceful future;;;;;;;;;;;;;
service_factory;Service Industry;;;;;;;;;;;;;
service_factory_desc;The service industries (More formally termed: 'tertiary sector of industry' by economists) involve the provision of services to businesses as well as final consumers. Such services include accounting, tradesmanship (like mechanic or plumber services), computer services, restaurants, tourism, etc.;;;;;;;;;;;;;
loyal_patriots;Loyal Patriots;;;;;;;;;;;;;
